feature,coef,lower,upper
race_source_value_0,0.3860894849551809,0.30526287384489353,0.43107210941895324
race_source_value_1,1.042116670144214,1.0163367114035307,1.0633122370872257
race_source_value_2,0.46777365676281124,0.45092112854663624,0.49183164094834264
race_source_value_3,0.247745210008132,0.22212992238005252,0.26805710065670824
race_source_value_4,0.2684004858097677,0.25700933255977687,0.2820500845249947
race_source_value_5,0.006080624169083065,-0.007153262617430415,0.021142994578553453
ethnicity_source_value_0,0.00896921253551412,-0.03338924514770348,0.029262735713610242
ethnicity_source_value_1,0.20705246979898795,0.19795473200433872,0.21377412101775128
agegrp_at_event_0,0.551553656256232,0.5276053746330941,0.5788753084176343
agegrp_at_event_1,0.35361242636475837,0.3359805719325659,0.3710226024064671
agegrp_at_event_2,0.16294940109403575,0.15233089085919016,0.18192090552977058
agegrp_at_event_3,0.1663686255284739,0.15128511130789407,0.18357310770826585
agegrp_at_event_4,-0.027799722066245185,-0.034551117646814095,-0.015161661841012133
los7up_ind,1.4906132528316385,1.4728728744629087,1.5009675966854714
delivery_type_0,0.9692094979397226,0.9572442156029033,0.9770825801326112
bed_size_0,-8.757558453895438,-10.318248615553873,-8.000349988721492
bed_size_1,1.6004183718458487,1.5580607041246806,1.6341195380818543
bed_size_2,1.1197480815504004,1.0900459106837757,1.14702434423815
bed_size_3,0.3447518669342468,0.31688968998070866,0.3687663184350186
bed_size_4,0.190486093382009,0.16608042028099398,0.20732783084999512
bed_size_5,0.6578404406996538,0.6376548090813225,0.6707664959939661
speciality_0,-2.049452772187146,-2.249687038806696,-1.9649895455713697
speciality_1,-1.5897114098235094,-1.6246921618564218,-1.5516359392584587
speciality_2,-0.36574625967831653,-0.39453079685101494,-0.3475809535818615
speciality_3,-0.8773605115679395,-0.8977784851716025,-0.8416018795697846
segment_0,0.4313029616202596,0.4035056393703003,0.46147799168614223
zip_code_0,-0.5312208257628839,-0.5725479697441109,-0.48055945737684
zip_code_1,-0.8558980115271738,-0.8825812710576193,-0.8317938124482163
zip_code_2,-0.06448612572300672,-0.08274581690032223,-0.046330228083311484
zip_code_3,-0.5542196242442947,-0.5785260286424777,-0.5291458981109705
zip_code_4,-0.26959112815621583,-0.2889936851329844,-0.2460185891038918
zip_code_5,-0.3776569199525985,-0.3971037688900323,-0.3569343315353485
zip_code_6,-0.5780922512918345,-0.6029538747336041,-0.5466586517813716
zip_code_7,-0.00332295219636618,-0.016321188695860953,0.014195912010418517
zip_code_8,-0.9833385657361591,-1.0010869010870524,-0.9663198056363151
hist_HEP_ind,0.3400271311322905,0.29477859180035176,0.38680578522460674
hist_IHD_ind,0.3597301806186222,0.2886041225141608,0.44230181593544
hist_AST_ind,0.0730010176274785,0.05488807000620487,0.09084498644311653
hist_LIV_ind,0.2621178453109356,0.16367467783231088,0.31887697962950334
hist_AFIB_ind,0.8155920570622925,0.6726389857788226,0.8877642992960193
hist_STR_ind,0.2863410836476452,0.09685290844288313,0.4215774466301737
hist_CKD_ind,0.7521191595586415,0.6667839132796061,0.8285757297822184
hist_HTN_ind,0.05186081358271624,0.036957570773206674,0.07358718816747117
hist_HF_ind,0.4603891199912083,0.32503160734471354,0.5737560946361105
hist_PVD_ind,0.38542800749561856,0.2576387292145712,0.5043359734463622
hist_RA_ind,0.288532077961437,0.20405485918681254,0.3693429081597399
hist_AD_ind,0.15572204879118387,0.11256018724135644,0.20496146633469556
hist_DM_ind,0.08315272817198206,0.062216972386266306,0.10139375364896105
hist_COVID_ind,0.2902274093628734,0.2635784994882465,0.30106899997851744
